CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
"ROME, CITY OF (COOSA WRF)",GA0024341,650 AUSBURN RD SW,ROME,GA,30165,1.10001E+11,34.22173,-85.307569,2,1.097,POTW,MWD,GA0024341 GAIS10227 GAL024341
"ROME, CITY OF (ROME WRF)",GA0024112,212 BLACKS BLUFF RD,ROME,GA,30161,1.10006E+11,34.229323,-85.194485,18,12.197,POTW,MWD,GA0024112 GAIS10226 GAL024112
ROMEO WWTP,MI0021679,14787 E. 32 MILE RD,ROMEO,MI,48065,1.10009E+11,42.80323,-82.98564,,,POTW,CTG,MI0021679
ROMEOVILLE WASTEWATER TREATMENT FACILITY,IL0048526,615 ANDERSON DRIVE,ROMEOVILLE,IL,60446,1.10018E+11,41.6483,-88.0764,15,7.5,POTW,MWD,IL0048526 ILL048526
RONALD R COLLINS WATER RECLAMATION FACILITY,TX0126098,2.4 MI S INTEX OF BOWIE PKWY AND US HWY 82,NEW BOSTON,TX,75561,1.1007E+11,33.427466,-94.236109,1.5,,POTW,MWD,TX0126098 TXR05ED01
RONCEVERTE CITY OF,WV0024236,330 RIVER ROAD,RONCEVERTE,WV,24970,1.10001E+11,37.743658,-80.470389,,,POTW,MWD,WV0024236
RONILE INC,VA0076015,701 ORCHARD AVE,ROCKY MOUNT,VA,241518059,1.10021E+11,36.956653,-79.864963,,0.2,NON-POTW,POF,VA0076015
"ROQUETTE AMERICA, INC.",IA0000256,1417 EXCHANGE STREET,KEOKUK,IA,52632,1.1E+11,40.3881,-91.398,7.34,4.89,NON-POTW,COR,IA0000256
"ROSELLE - J.L. DEVLIN WWTP, VILLAGE OF",IL0030813,720 SOUTH RUSH STREET,ROSELLE,IL,60172,1.10018E+11,41.971553,-88.075107,4,2,POTW,MWD,IL0030813 ILL030813
ROSELLE-J. BOTTERMAN STP,IL0048721,1351 CENTRAL AVENUE,ROSELLE,IL,60172,1.10001E+11,41.982567,-88.113572,4.6,1.22,POTW,MWD,IL0048721 ILL048721
ROSETON GENERATING STATION,NY0008231,992 RIVER ROAD,NEWBURGH,NY,12550,1.1E+11,41.5717,-73.97502,,925.8,NON-POTW,POF,NY0008231
ROSITA VALLEY WWTP,TX0128589,2MI SE INTX FM 1021 AND ROSITA VALLEY RD,EAGLE PASS,TX,78853,1.10055E+11,28.606559,-100.433623,1.5,1.5,POTW,MWD,TX0128589
ROSS CUSTOM PROPERTIES,MO0004952,7000 WINNER ROAD,KANSAS CITY,MO,64125,1.10027E+11,39.115279,-94.474997,,,NON-POTW,POF,MO0004952 MO0138789 MORA02833 MORA03926
"ROSWELL, CITY OF",NM0020311,425 N. RICHARDSON,ROSWELL,NM,88201,1.1004E+11,33.396756,-104.524388,7,,POTW,MWD,NM0020311
ROTTERDAM (T) SD #2 STP,NY0020141,26 WEST CAMPBELL RD,"ROTTERDAM, TOWN OF",NY,12306,1.10002E+11,42.8039,-73.98894,1.5,,POTW,MWD,NY0020141
ROUSES POINT (V) WWTP,NY0021831,LILY AVENUE EXTENSION,ROUSES POINT,NY,12979,1.10013E+11,44.999583,-73.352444,2,,POTW,MWD,NY0021831
ROWLETT CREEK REGIONAL WWTP,TX0047911,1600 LOS RIOS BLVD,PLANO,TX,75098,1.10002E+11,33.124035,-96.565558,24,,POTW,MWD,TX0047911 TX0088633
ROXBORO STEAM ELECTRIC POWER PLANT,NC0003425,1700 DUNNAWAY RD,SEMORA,NC,27343,1.1E+11,36.4833,-79.0731,0.015,,NON-POTW,POF,NC0003425 NCS000581
ROXBORO WWTP,NC0021024,902 CAVEL-CHUB LAKE RD,ROXBORO,NC,27573,1.10001E+11,36.444475,-78.977889,5,,POTW,CNG,NC0021024 NCG110042 NCL021024
ROXBURY TOWNSHIP,NJ0022675,1 AJAX TER,ROXBURY TWP,NJ,7876,1.10002E+11,40.841516,-74.642298,,,POTW,MWD,NJ0022675
ROYAL MOUNTAIN KING MINE,CA0085243,4461 ROCK CREEK ROAD,COPPEROPOLIS,CA,95228,1.10014E+11,38.020581,-120.704825,43,,NON-POTW,POF,CA0085243
"ROYAL PALM BEACH, VILLAGE OF",FLS645516,10996 OKEECHOBEE BLVD,ROYAL PALM BEACH,FL,33411,1.1007E+11,26.708385,-80.217708,,,NON-POTW,MWD,FLS645516
RUIDOSO-RUIDOSO DOWNS WWTP,NM0029165,"313 CREE MEADOWS DRIVE,",RUIDOSO,NM,88345,1.10011E+11,33.34944,-105.66196,2.64,,POTW,MWD,NM0029165 NMR05A026
RUMFORD-MEXICO SEWER DISTRICT WWTF,ME0100552,228 RIVER RD,MEXICO,ME,04257-1812,1.10007E+11,44.54062,-70.51965,2.65,,POTW,MWD,ME0100552 ME0101486 MEL100552
RUSHVILLE WWTP,IN0021270,300 S MCFARLAND ST,RUSHVILLE,IN,46173,1.10001E+11,39.6045,-85.453194,2,11.5,POTW,MWD,IN0021270
RUSSELL COUNTY REGIONAL STP,KY0062995,HALF ACRE RD,JAMESTOWN,KY,42629,1.10001E+11,36.946111,-85.020833,3.6,1.89,POTW,CTG,KY0062995 KYL062995
RUSSELLVILLE STP,KY0020877,98 FRANCIS AVE,RUSSELLVILLE,KY,42276,1.10001E+11,36.856732,-86.889048,2.4,1.23,POTW,CTG,KY0020877 KYL020877
RUSSELLVILLE WATER & SEWER SYSTEM - CITY CORPORATION,AR0021768,404 JIMMY LILE ROAD,RUSSELLVILLE,AR,72802,1.1004E+11,35.247222,-93.1125,7.3,8.5,POTW,MWD,AR0021768 ARL021768
"RUSTON, CITY OF- NORTHSIDE WASTEWATER TREATMENT PLANT",LA0036323,1717 GOODWIN ROAD,RUSTON,LA,71273,1.10001E+11,32.54739,-92.62849,4,,POTW,MWD,LA0036323
RUTHERFORDTON WWTP,NC0025909,NC HWY 221,RUTHERFORDTON,NC,28139,1.1004E+11,35.3423,-81.9565,1,,POTW,MWD,NC0025909 NCG110105 NCL025909
RUTLAND,VT0100871,10 GREENS HILL LANE,RUTLAND,VT,5701,1.10011E+11,43.603904,-72.993577,,,POTW,MWD,VT0100871 VTL100871
RWRA MAX RHOADS WWTP,KY0020095,1201 EWING RD N,OWENSBORO,KY,42301,1.1004E+11,37.78492,-87.14404,15,8.12,POTW,MWD,KY0020095 KYR10N636
S D WARREN COMPANY,ME0021521,1329 WATERVILLE RD,SKOWHEGAN,ME,04976-4908,1.10017E+11,44.7024,-69.6472,46.5,,NON-POTW,POF,ME0021521
S D WARREN COMPANY - WESTBROOK,ME0002321,89 CUMBERLAND ST,WESTBROOK,ME,4092,1.10021E+11,43.68371,-70.352652,,,NON-POTW,POF,ME0002321 MER05B451
S FORK REG WWTP,PA0216941,151 CROSS ST,SOUTH FORK,PA,15956,1.10001E+11,40.363947,-78.798772,1.2,,POTW,CTG,PA0216941
S HURON VALLEY UA WWTP,MI0043800,34001 W JEFFERSON AVE,BROWNSTOWN,MI,48173,1.10004E+11,42.05941,-83.207985,,,POTW,CTG,MI0043800
S.R. BERTRON ELECTRIC GENERATION STATION,TX0006378,2012 MILLER CUTOFF RD,HOUSTON,TX,77571,1.10002E+11,29.679015,-95.111941,740.02,740.2,NON-POTW,POF,TX0006378 TXR05V801
S20 D'IBERVILLE WWTF AND TRANSMISSION SYSTEM,MS0061221,OLD HIGHWAY 67,D'IBERVILLE,MS,39533,1.10038E+11,30.448204,-88.90157,1.5,,POTW,MWD,MS0061221 MSL061221
SABIC INNOVATIVE PLASTICS MT VERNON LLC,IN0002101,1 LEXAN LN,MOUNT VERNON,IN,47620,1.1E+11,37.9072,-87.9271,11.21,,NON-POTW,POF,IN0002101 INRM00130
SABIC INNOVATIVE PLASTICS US LLC,IL0001929,2148 NORTH 2753RD ROAD,OTTAWA,IL,61350,1.1E+11,41.334533,-88.755775,,,NON-POTW,POF,IL0001929
"SABIC INNOVATIVE PLASTICS US, LLC",NY0007072,NORYL AVENUE,SELKIRK,NY,12158,1.1E+11,42.575416,-73.853563,,1.006,NON-POTW,POF,NY0007072
"SABIC INNOVATIVE PLASTICS, US, LLC",AL0054704,"1 PLASTICS DRIVE, BURKVILLE, AL",BURKVILLE,AL,36752,1.10017E+11,32.31367,-86.51153,,,NON-POTW,POF,AL0054704 ALG890090 ALR10BDLC ALR10BE77 ALR16ECGK
SABINE CREEK WWTP,TX0126110,1513 CRENSHAW RD,ROCKWALL COUNTY,TX,75189,1.1001E+11,33.02323,-96.55079,7,,POTW,MWD,TX0126110
SABINE PLANT,TX0006696,1000 POWERHOUSE RD,BRIDGE CITY,TX,77704,1.10007E+11,30.023611,-93.876111,1306,1306,NON-POTW,COR,TX0006696
SACO WWTF,ME0101117,68 FRONT ST,SACO,ME,4072,1.10021E+11,43.49,-70.44,4.2,,POTW,MWD,ME0101117 MEL101117
SACRAMENTO COMBINED WWCTS,CA0079111,1395 35TH AVE,SACRAMENTO,CA,95822,1.1001E+11,38.52324,-121.524678,380,,POTW,MWD,CA0079111
SACRAMENTO REGIONAL WWTP,CA0077682,8521 LAGUNA STATION RD,ELK GROVE,CA,95758,1.10001E+11,38.4485,-121.461667,181,,POTW,MWD,CA0077682 CAL077682
SADOG TASI WWTP,MP0020010,SADOG TASI RD.,SAIPAN,MP,96950,1.10025E+11,15.18,145.75,4.8,2.6,POTW,MWD,MP0020010
"SAFETY HARBOR, CITY OF",FLS648370,1200 RAILROAD AVE,SAFETY HARBOR,FL,34695,1.10036E+11,27.998357,-82.696243,,,NON-POTW,MWD,FLS648370
SAGE AUTO INTERIORS ABBEVILLE PLT,SC0000353,601 BROOKS ST,ABBEVILLE,SC,29620,1.1E+11,34.167222,-82.371389,,,NON-POTW,POF,SC0000353 SC0048704
SAGE CREEK MINE COMPLEX,CO0048275,36600 CR 27,HAYDEN,CO,81639,1.10065E+11,40.443861,-107.138583,2.155,,NON-POTW,,CO0048275
SAGEMONT WWTP,TX0063070,11700 SAGEARBOR DR,HOUSTON,TX,77089,1.10007E+11,29.598594,-95.207773,6.14,6.14,POTW,MWD,TX0063070
SAGINAW TWP WWTP,MI0023973,5790 W MICHIGAN AVE,SAGINAW,MI,48638,1.10001E+11,43.403703,-84.0306,,,POTW,CTG,MI0023973
SAGINAW WWTP,MI0025577,2406 VETERANS MEMORIAL PKWY,SAGINAW,MI,48601,1.10001E+11,43.463738,-83.909493,,,POTW,CTG,MI0025577
SAINT JAMES WWTP,MN0024759,1305 WESTON AVE NO,SAINT JAMES,MN,56081,1.10001E+11,43.988204,-94.614913,2.96,,POTW,MWD,MN0024759 MNL024759
"SAINT MARYS, CITY OF (POINT PETER WPCP)",GA0039047,300 NORTH RIVER CAUSEWAY,SAINT MARYS,GA,31558,1.10065E+11,30.757993,-81.53817,4,2.035,POTW,MWD,GA0039047 GAL039047
SAINT MICHAEL WWTP,MN0020222,3320 LANDER AVE NE,SAINT MICHAEL,MN,55376,1.1004E+11,45.2003,-93.6499,2.445,2.445,POTW,CTG,MN0020222
SAINT PAUL PARK REFINING CO LLC,MN0000256,301 SAINT PAUL PARK RD,SAINT PAUL PARK,MN,55071-1583,1.10044E+11,44.850583,-93.002139,,2.858,NON-POTW,POF,MN0000256
SAINT PETER WWTP,MN0022535,400 SAINT JULIEN ST,SAINT PETER,MN,560821809,1.10001E+11,44.338986,-93.943175,4,4,POTW,CTG,MN0022535 MNL022535
SALADO CREEK WATER RECYCLING WATER,TX0052647,13496 BLUE WING ROAD,SAN ANTONIO,TX,78223,1.1004E+11,29.284637,-98.429537,46,46,POTW,MWD,TX0052647
SALAMANCA (C) STP,NY0020508,299 CENTER STREET,SALAMANCA,NY,14779,1.10011E+11,42.16399,-78.74452,2,2,POTW,MWD,NY0020508
SALATRILLO CREEK WWTP,TX0053074,9638 SCHAEFER RD,SAN ANTONIO,TX,78109,1.10001E+11,29.50934,-98.29974,7.33,5.83,POTW,MWD,TX0053074
SALEM CITY  WASTEWATER TREATMENT FACILITY,NJ0024856,19 S FRONT ST,SALEM CITY,NJ,80790000,1.10001E+11,39.573919,-75.479337,1.4,,POTW,MWD,NJ0024856 NJL024856
"SALEM STP, CITY OF",IL0023264,801 EAST LAKE STREET,SALEM,IL,62881,1.10001E+11,38.6167,-88.9438,7.023,2.508,POTW,MWD,IL0023264 ILL023264
SALEM UTILITY DISTRICT NO 2,WI0031496,COUNTY HWY C,SALEM,WI,53168,1.10011E+11,42.508266,-88.155999,1.57,,POTW,MWD,WI0031496 WIG012064
SALEM WILLOW LAKE STP,OR0026409,5915 WINDSOR ISLAND RD N,SALEM,OR,97303,1.10001E+11,45.008574,-123.05457,35,,POTW,MWD,OR0026409 ORL026409
SALEM WWTP,IN0021644,209 W JOSEPH ST,SALEM,IN,47167,1.1001E+11,38.595917,-86.105139,1.6,1.78,POTW,MWD,IN0021644 INL021644
"SALEM, CITY OF, MUNICIPAL STORMWATER MS4",ORS108919,MULTIPLE OUTFALL LOCATIONS (MARION),MARION,OR,97301,1.10058E+11,44.9228,-122.9832,,,NON-POTW,CTG,ORS108919
SALIDA WWTF,CO0040339,6608 CR 102,SALIDA,CO,81201,1.10014E+11,38.514585,-105.973243,2.7,,POTW,MWD,CO0040339 COG073827 COG650082
"SALINA, CITY OF",KS0038474,596 N MARYMOUNT ROAD,SALINA,KS,67401,1.10018E+11,38.851737,-97.575815,7.25,,POTW,CTG,KS0038474 KSR121368
"SALINAS, CITY OF",CA0049981,CENTRAL COAST,SAN LUIS OBISPO,CA,9000,1.10064E+11,35.1422,-120.64067,,,NON-POTW,CTG,CA0049981
SALINE WWTP,MI0024023,247 MONROE ST,SALINE,MI,48716,1.10001E+11,42.15973,-83.78352,,,POTW,CTG,MI0024023
SALISBURY W W T F,MA0102873,125 ELM ST,SALISBURY,MA,1952,1.10024E+11,42.840211,-70.884776,1.3,,POTW,MWD,MA0102873 MAL102873
"SALLISAW, CITY OF",OK0028169,PO BOX 525,SALLISAW,OK,74955,1.10011E+11,35.415417,-94.816833,3.25,2.48,POTW,MWD,OK0028169
SALMON CREEK STP,WA0023639,15100 NW MCCANN RD,VANCOUVER,WA,98685,1.10007E+11,45.732006,-122.727486,,,POTW,MWD,WA0023639 WAL023639 WAR000728 WAR310843 WAR311264
SALMON CREEK WWTP,WA0022772,12550 SHOREWOOD DR SW,BURIEN,WA,98146,1.10005E+11,47.490989,-122.361021,24.3,,POTW,MWD,WA0022772 WA0026301 WAG994551 WAL022772
SALT CREEK SD STP,IL0030953,201 SOUTH ROUTE 83,VILLA PARK,IL,60181,1.10018E+11,41.885,-87.9653,8,3.3,POTW,MWD,IL0030953 ILL030953 ILR006251 ILX0086SC
SALT RIVER PROJECT - AGUA FRIA GENERATING STATION,AZ0023531,7302 W NORTHERN AVE,GLENDALE,AZ,85303,1.10001E+11,33.55257,-112.21376,3.155,,NON-POTW,MWD,AZ0023531
SALT ROCK PSD,WV0084450,100 PADERO DRIVE,ONA,WV,25545,1.10011E+11,38.440686,-82.198466,2.5,,POTW,MWD,WV0084450
SAM C MCKENZIE JR WATER RECLAMATION FACILITY,TX0133248,4 MI SE OF THE CITY OF NEW BRAUNFELS,NEW BRAUNFELS,TX,78130,1.10059E+11,29.653333,-98.058333,9.9,,POTW,MWD,TX0133248
SAM H. HOBBS REGIONAL WW FACILITY (PREV. CASPER WWTF),WY0021920,UNKNOWN,UNKNOWN,WY,0,1.10055E+11,42.86297,-106.2914,,,POTW,MXO,WY0021920
SAM O PURDOM GEN STATION,FL0025526,667 PORT LEON DR,SAINT MARKS,FL,32355,1.10002E+11,30.162681,-84.201816,61.92,28.9,NON-POTW,MWD,FL0025526 FLR05B823
SAM SEYMOUR FAYETTE POWER PLANT,TX0073121,6549 POWER PLANT RD,LA GRANGE,TX,78945,1.1E+11,29.91402,-96.75351,1165,1165,NON-POTW,POF,TX0073121 TXR05M603 TXR1531IP
SAM'S BRANCH WRF,NC0025453,1000 DURHAM ST,CLAYTON,NC,27520,1.1001E+11,35.6413,-78.4644,2.5,,POTW,MWD,NC0025453 NCL025453
SAN BENITO WWTF,TX0125971,1/4M SE INTX FM 509 AND ARROYO COLORADO,SAN BENITO,TX,785864666,1.10065E+11,26.174972,-97.624944,3.75,,POTW,MWD,TX0125971
SAN BENITO WWTP,TX0135470,1900 LINE 20 RD,SAN BENITO,TX,78586,1.10038E+11,26.174523,-97.625014,3.75,3.75,NON-POTW,,TX0047601 TX0135470
"SAN BERNARDINO, COUNTY OF/MS4",CAS618036,MS4/SB COUNTY FLOOD CNTRL DIST,SAN BERNARDINO COUNTY,CA,92415,1.10056E+11,34.1069338,-117.286265,,,NON-POTW,CTG,CAS618036
SAN CARLOS ESTATES WATER CONTROL DISTRICT,FLS266981,2891 CENTER POINTE DR,FORT MYERS,FL,33916,1.1007E+11,26.60305,-81.85143,,,NON-POTW,MWD,FLS266981
SAN DIEGO REGION MS4,CAS109266,SAN DIEGO,SAN DIEGO,CA,9000,1.10055E+11,32.8152995,-117.134993,,,NON-POTW,,CAS109266
SAN ELIJO WRF,CA0107999,2695 MANCHESTER AVE,CARDIFF BY THE SEA,CA,92007,1.10001E+11,33.01357,-117.27297,5.25,1.3,POTW,MWD,CA0107999
SAN FELIPE WWTP,TX0047198,"580 GUYLER LN, VAL VERDE COUNTY, TX",DEL RIO,TX,78840,1.10065E+11,29.308056,-100.886111,3.8,3.8,POTW,MWD,TX0047198
SAN FRANCISCO BAY REGIONAL MS4,CAS612008,SAN FRANCISCO BAY,OAKLAND,CA,9000,1.10065E+11,37.7698573,-122.2256401,,,NON-POTW,,CAS612008
SAN FRANCISCO REFINERY AT RODEO,CA0005053,1380 SAN PABLO AVE,RODEO,CA,94572,1.1E+11,38.0436,-122.2532,,63,NON-POTW,POF,CA0005053
SAN GABRIEL WWTP,TX0022667,1107 N COLLEGE ST,GEORGETOWN,TX,78627,1.1004E+11,30.649536,-97.662527,2.5,2.5,POTW,MWD,TX0022667
SAN JACINTO RIVER AND RAIL,TX0053023,18511 BEAUMONT HWY,HOUSTON,TX,77049,1.10065E+11,29.875833,-95.094833,,16,NON-POTW,POF,TX0053023
SAN JACINTO RIVER AUTHORITY WWTP 2,TX0054186,2436 SAWDUST ROAD,CONROE,TX,77387,1.1004E+11,30.195784,-95.491353,7.8,,POTW,MWD,TX0054186
SAN JOSE CREEK WRP,CA0053911,1965 S WORKMAN MILL RD,WHITTIER,CA,90601,1.10001E+11,34.032237,-118.021161,100,,POTW,MWD,CA0053911 CAZ189685
SAN JOSE/SANTA CLARA WPCP,CA0037842,700 LOS ESTEROS RD,SAN JOSE,CA,95134-1099,1.10001E+11,37.43251,-121.952738,261,167,POTW,MWD,CA0037842 CAL037842
SAN JUAN CREEK OCEAN OUTFALL,CA0107417,34156 DEL OBISPO STREET,DANA POINT,CA,92629,1.10001E+11,33.466574,-117.685766,104,39,POTW,MWD,CA0107417 CA0107611
SAN LUIS OBISPO WRRF,CA0049224,35 PRADO RD,SAN LUIS OBISPO,CA,93401,1.10001E+11,35.25615,-120.67291,5.1,,POTW,MWD,CA0049224 CAL049224
SAN MATEO WWTP,CA0037541,2050 DETROIT DRIVE,SAN MATEO,CA,94404,1.10056E+11,37.5685,-122.29484,40,,POTW,MWD,CA0037541 CAL037541
SAN ONOFRE NUCLEAR GENERATING STATION,CA0109282,5000 PACIFIC COAST HWY,SAN CLEMENTE,CA,92672,1.10001E+11,33.369177,-117.555487,2574,56.3,NON-POTW,COR,CA0108073 CA0109282
SAND CREEK WATER REUSE FACILTY,CO0026611,11405 E 30 AVE,ADAMS COUNTY,CO,80010,1.1005E+11,39.76069,-104.85383,5,,POTW,MWD,CO0026611 COE001000 CONOX0195
"SAND SPRINGS(MAIN PLANT), CITY OF",OK0030864,5700 W 21ST,SAND SPRINGS,OK,74063,1.1004E+11,36.131278,-96.089944,3.1,1.608,POTW,MWD,OK0030864
"SANDERSVILLE, CITY OF (SANDERSVILLE WPCP)",GA0032051,FALL LINE FREEWAY,SANDERSVILLE,GA,31082,1.10007E+11,32.990611,-82.842167,1.75,0.952,POTW,CTG,GA0032051 GAL032051
SANDHILL ENERGY CENTER,TX0124362,1101 FALLWELL LN,AUSTIN,TX,78617,1.10009E+11,30.208333,-97.605,1.3,1.3,NON-POTW,POF,TX0124362 TXR10NH59 TXU010146
"SANDPOINT, CITY OF - SANDPOINT WWTP",ID0020842,723 SOUTH ELLA AVE,SANDPOINT,ID,83864,1.10046E+11,48.263634,-116.560993,5,,POTW,CTG,ID0020842 IDL020842
SANDUSKY WPC,OH0027332,304 HARRISON ST,SANDUSKY,OH,44870,1.10002E+11,41.45134,-82.725,22,,POTW,MWD,OH0027332
"SANDWICH STP, CITY OF",IL0030970,1120 EAST CHURCH STREET,SANDWICH,IL,60548,1.10001E+11,41.65675,-88.63739,3.75,1.5,POTW,MWD,IL0030970 ILL030970
SANDY CREEK ENERGY STATION,TX0127256,2161 RATTLESNAKE RD,MCLENNAN COUNTY,TX,76682,1.10035E+11,31.4725,-96.955,2.6,2.6,NON-POTW,POF,TX0127256 TXR05BW19 TXR1529FK
SANFORD WWTF,ME0100617,192 GAVEL RD,SANFORD,ME,4073,1.10007E+11,43.41135,-70.72498,4.4,,POTW,MWD,ME0100617 MEL100617 MERNEB447
"SANFORD, CITY OF",FLS663255,300 N PARK AVE,SANFORD,FL,32771,1.1007E+11,28.81409,-81.26804,,,NON-POTW,MWD,FLS663255
SANFORD/NORTH WWTF,FL0020141,1201 WEST SEMINOLE BOULEVARD,SANFORD,FL,32771,1.10028E+11,28.81617,-81.27911,7.3,,POTW,MWD,FL0020141 FLL020141 FLR20DN70
SANGAMON COUNTY WATER RECLAMATION DISTRICT ,IL0021971,3300 MECHANICSBURG ROAD,SPRINGFIELD,IL,62707,1.10001E+11,39.80263,-89.53013,37.5,15,POTW,MWD,IL0021971 ILL021971
"SANIBEL, CITY OF",FLS266957,800 DUNLOP RD,SANIBEL,FL,33957,1.10036E+11,26.4399,-82.07371,,,NON-POTW,MWD,FLS266957
SANITARY DISTRICT OF DECATUR MAIN STP,IL0028321,501 DIPPER LANE,DECATUR,IL,62522,1.10001E+11,39.84004,-89.00085,125,41,POTW,MWD,IL0028321 ILL028321
SANTA CLAUS WASTEWATER TREATMENT PLANT,IN0020605,15167 N SR 245,SANTA CLAUS,IN,47579,1.1004E+11,38.105861,-86.904917,1.17,0.62,POTW,MWD,IN0020605 INL020605
SANTA CRUZ RIVER HERITAGE PROJECT,AZ0026166,1580 S SANTA CRUZ LN,TUCSON,AZ,85713,1.1007E+11,32.20268,-110.9862,3.57,,NON-POTW,MWD,AZ0026166
SANTA CRUZ WWTF,CA0048194,110 CALIFORNIA ST,SANTA CRUZ,CA,95060,1.10014E+11,36.963246,-122.034009,17,,POTW,MWD,CA0048194 CAL048194
SANTA FE WWTP,NM0022292,AIRPORT ROAD,SANTA FE,NM,87504,1.10065E+11,35.625085,-106.089213,6.5,,POTW,MWD,NM0022292
SANTA RITA UPPER MIDDLEBROOK WWTP,TX0132969,APPROX 2.5 MI N INTX RONALD REAGAN BLVD & HWY 29,LIBERTY HILL,TX,78642,1.10065E+11,30.672777,-97.842222,1.4,,POTW,CNG,TX0132969
SANTA ROSA REGIONAL WATER REUSE SYSTEM,CA0022764,4300 LLANO ROAD,SANTA ROSA,CA,95407,1.10001E+11,38.36876,-122.7686,64,,POTW,MWD,CA0022764 CAL022764
SANTAQUIN WATER RECLAMATION FACILITY,UT0026000,1215 NORTH CENTER STREET,SANTAQUIN,UT,84655,1.10056E+11,39.996111,-111.789444,1,,POTW,MWD,UT0026000 UTL026000 UTR360091
SAPULPA  WWTF,OK0043974,425 E. DEWEY AVE.,SAPULPA,OK,74067,1.10007E+11,36.017361,-96.082611,3.5,2.603,POTW,MWD,OK0043974
SARALAND WWTP,AL0055786,104 STATION STREET,SARALAND,AL,36571,1.10002E+11,30.8138,-88.0681,2.6,1.69,POTW,MWD,AL0055786 ALL055786
SARANAC LAKE (V) WPCP,NY0021733,680 NYS RTE 3,SARANAC LAKE,NY,12983,1.10008E+11,44.348667,-74.114583,2.62,,POTW,MWD,NY0021733
SARASOTA CO & CO APP - MS4,FLS000004,1001 SARASOTA CENTER BLVD,SARASOTA,FL,34240,1.10009E+11,27.30742,-82.45139,,,NON-POTW,CNG,FLS000004
"SARASOTA, CITY OF",FLS266141,1565 1ST ST,SARASOTA,FL,34236,1.1007E+11,27.33726,-82.53953,,,NON-POTW,MWD,FLS266141
SARATOGA CO SD#1 WWTP,NY0028240,ROUTES 4 & 32,MECHANICVILLE,NY,12118,1.10057E+11,42.882472,-73.682722,43,,POTW,MWD,NY0028240 NYR00G711
"SASOL NORTH AMERICA, INC. - LAKE CHARLES CHEMICAL COMPLEX",LA0003336,2201 OLD SPANISH TRAIL,WESTLAKE,LA,70669,1.10017E+11,30.2588,-93.2937,,4.51,NON-POTW,POF,LA0003336 LAG110267 LAG420067 LAG420103 LAR05M448 LAR10J919 LAR10L204
SAUGERTIES (V) DOCK STREET STP,NY0031208,111 DOCK STREET,SAUGERTIES,NY,12477,1.10007E+11,42.07475,-73.944972,1.36,,POTW,MWD,NY0031208
SAUGET-ABRTF,IL0065145,#1 AMERICAN BOTTOMS ROAD,SAUGET,IL,62206,1.10002E+11,38.591833,-90.185173,27,,POTW,MWD,IL0065145 ILL065145
SAUGUS RESCO RESOURCE RECOVERY,MA0028193,100 SALEM TPKE,SAUGUS,MA,1906,1.10065E+11,42.44946,-70.98051,,60,NON-POTW,POF,MA0028193
SAUGUS WRP,CA0054313,26200 SPRINGBROOK AVE,SANTA CLARITA,CA,91350,1.10001E+11,34.412705,-118.539265,6.5,,POTW,MWD,CA0054313
SAUKVILLE VILLAGE SEWER UTILITY,WI0021555,1600 COTTONTAIL DRIVE,SAUKVILLE,WI,53080,1.10011E+11,43.37523,-87.93918,1,1.606,POTW,MWD,WI0021555
SAULT STE MARIE WWTP,MI0024058,1171 E PORTAGE AVE,SAULT STE MARIE,MI,49783,1.10001E+11,46.4897,-84.3123,,,POTW,CTG,MI0024058
SAUSALITO-MARIN WWTP,CA0038067,1 EAST ROAD,SAUSALITO,CA,94965,1.10001E+11,37.843306,-122.4775,6,,POTW,MWD,CA0038067
SAVANNAH STP,TN0061565,2830 LEGION DRIVE,SAVANNAH,TN,38372,1.10006E+11,35.249247,-88.208091,1.88,1.566,POTW,MWD,TN0061565 TNL061565
SAVANNAH WWTF,MO0026336,14260 SOUTH BUSINESS 71,SAVANNAH,MO,64485,1.1001E+11,39.921417,-94.816139,,,POTW,MWD,MO0026336
"SAVANNAH, CITY OF (CROSSROADS WPCP)",GA0038326,GULFSTREAM ROAD,SAVANNAH,GA,31404,1.10001E+11,32.149735,-81.182207,3,,POTW,MWD,GA0038326 GAL038326
"SAVANNAH, CITY OF (GEORGETOWN WPCP)",GA0046418,14 BEAVER RUN DR,SAVANNAH,GA,31419,1.10065E+11,31.982825,-81.232313,2.45,1.87076,POTW,CTG,GA0046418 GAIS01016 GAL046418
"SAVANNAH, CITY OF (PRESIDENT STREET WPCP)",GA0025348,1400 E PRESIDENT ST,SAVANNAH,GA,31404,1.10065E+11,32.073605,-81.068876,27,16.3,POTW,MWD,GA0025348 GAIS12095 GAJ020198 GAL025348 GAU020198
"SAVANNAH, CITY OF (TRAVIS FIELD WPCP)",GA0020427,198 DARQUE ROAD,SAVANNAH,GA,31404,1.10064E+11,32.113052,-81.186773,4,0,POTW,CTG,GA0020427 GAL020427
"SAVANNAH, CITY OF (WILSHIRE WPCP)",GA0020443,11015 LARGO DRIVE,SAVANNAH,GA,31419,1.10064E+11,31.990234,-81.149536,4.5,2.54,POTW,MWD,GA0020443 GAL020443
